Sr no.,EVENT NAME,EVENT DATE,EVENT LOCATION,EVENT TYPE,TOTAL ATTENDEES,EVENT MEDIA,EVENT SPONSERS
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,RANDOM DATA WE CAN TAKE USE OF,,,,,,
,https://docs.google.com/spreadsheets/d/1Ib2H6DMXiBpV-LdTsNzUIzDt0_PGjc_5ZjF5ivhnsWU/edit?gid=0#gid=0,,,,,,
